component_a,component_b,runs,completion_rate,avg_final_stage,avg_ending_bankroll,interaction_note
"core.player-surge","vision.third-card-forecast",3,33.333%,8.667,7041500,"observed co-occurrence"
"banker.banco-press","heat.soft-footsteps",47,31.915%,7.766,764664.617,"observed co-occurrence"
"heat.soft-footsteps","tie.tie-master",19,31.579%,8.421,649205.895,"observed co-occurrence"
"banker.banco-press","heat.low-profile",20,30%,7.85,598406.25,"observed co-occurrence"
"control.hot-cut","core.clean-hands",7,28.571%,7.714,382698.286,"observed co-occurrence"
"boss.boss-bounty","heat.soft-footsteps",25,28%,8.88,552777.96,"observed co-occurrence"
"player.side-step","vision.third-card-forecast",4,25%,8.75,3502787.5,"observed co-occurrence"
"control.soft-cut","player.player-tempo",4,25%,5.75,514187.5,"observed co-occurrence"
"banker.banco-press","core.clean-hands",40,22.5%,7.45,731535.3,"observed co-occurrence"
"boss.house-crack","heat.low-profile",18,22.222%,8.778,451157.556,"observed co-occurrence"
"banker.banco-press","player.reversal-read",9,22.222%,7.333,621641.667,"observed co-occurrence"
"economy.comp-points","heat.low-profile",55,21.818%,6.655,430161.236,"observed co-occurrence"
"heat.low-profile","player.player-tempo",14,21.429%,7.143,196566.929,"observed co-occurrence"
"core.lucky-chip","heat.low-profile",38,21.053%,6.447,260928.947,"observed co-occurrence"
"heat.soft-footsteps","player.player-tempo",83,20.482%,7.53,464605.627,"observed co-occurrence"
"banker.commission-dodge","heat.low-profile",30,20%,6.6,451677.7,"observed co-occurrence"
"banker.dealers-nod","heat.soft-footsteps",15,20%,7.533,443598.333,"observed co-occurrence"
"banker.banco-press","bet.high-roller",10,20%,8.1,768417.5,"observed co-occurrence"
"banker.banco-press","tie.tie-whisperer",5,20%,8.2,990900,"observed co-occurrence"
"control.soft-cut","debt.last-dollar",5,20%,8,742245,"observed co-occurrence"
"boss.house-crack","economy.comp-points",5,20%,8.2,465000,"observed co-occurrence"
"heat.low-profile","tie.tie-master",5,20%,7.2,370602.4,"observed co-occurrence"
"economy.comp-points","heat.soft-footsteps",326,19.018%,7.058,372260.491,"observed co-occurrence"
"economy.interest-ledger","heat.soft-footsteps",390,18.718%,7.059,385273.003,"observed co-occurrence"
"core.banker-bias","player.player-tempo",11,18.182%,6.818,346711.364,"observed co-occurrence"
"control.hot-cut","heat.soft-footsteps",11,18.182%,8.364,449189.818,"observed co-occurrence"
"economy.interest-ledger","heat.low-profile",77,16.883%,7.208,294182.961,"observed co-occurrence"
"banker.banco-press","player.punto-insurance",18,16.667%,8.389,776015.278,"observed co-occurrence"
"core.clean-hands","tie.tie-master",18,16.667%,7.722,506715.222,"observed co-occurrence"
"banker.banco-press","tie.mirror-bet",12,16.667%,7.75,942812.5,"observed co-occurrence"
"heat.low-profile","vision.pattern-memory",12,16.667%,8.083,449220.583,"observed co-occurrence"
"banker.dealers-nod","vision.pattern-memory",6,16.667%,6.833,99833.333,"observed co-occurrence"
"core.banker-bias","vision.pattern-memory",6,16.667%,6.167,276208.333,"observed co-occurrence"
"heat.low-profile","tie.equalizer",61,16.393%,7.049,338088.918,"observed co-occurrence"
"banker.commission-dodge","heat.soft-footsteps",179,15.642%,6.436,298328.525,"observed co-occurrence"
"banker.banco-press","economy.comp-points",52,15.385%,8.212,960670.673,"observed co-occurrence"
"core.banker-bias","heat.soft-footsteps",13,15.385%,4.923,229769.231,"observed co-occurrence"
"heat.soft-footsteps","tie.equalizer",226,15.044%,7.363,352439.137,"observed co-occurrence"
"heat.soft-footsteps","tie.tie-whisperer",27,14.815%,6.222,208551.852,"observed co-occurrence"
"core.lucky-chip","heat.soft-footsteps",597,14.74%,6.851,340453.35,"observed co-occurrence"
"boss.house-crack","core.clean-hands",34,14.706%,8.441,500435.618,"observed co-occurrence"
"debt.last-dollar","heat.soft-footsteps",131,14.504%,7.374,433362.26,"observed co-occurrence"
"core.banker-bias","economy.comp-points",28,14.286%,4.643,219437.5,"observed co-occurrence"
"control.soft-cut","tie.equalizer",7,14.286%,7.286,386191.714,"observed co-occurrence"
"heat.low-profile","heat.soft-footsteps",257,14.008%,6.311,279725.482,"observed co-occurrence"
"heat.soft-footsteps","vision.pattern-memory",51,13.725%,7.549,673926.706,"observed co-occurrence"
"debt.last-dollar","heat.low-profile",44,13.636%,7.273,322688,"observed co-occurrence"
"bet.high-roller","debt.last-dollar",15,13.333%,7.467,244248.333,"observed co-occurrence"
"boss.house-crack","heat.soft-footsteps",38,13.158%,8.342,500595.368,"observed co-occurrence"
"banker.dealers-nod","economy.interest-ledger",24,12.5%,7.542,451066.667,"observed co-occurrence"
"heat.soft-footsteps","loaded.add-nine",16,12.5%,5.25,74784.938,"observed co-occurrence"
"banker.banco-press","player.player-tempo",8,12.5%,7.875,714093.75,"observed co-occurrence"
"banker.banker-anchor","tie.tie-master",8,12.5%,7.75,302506.25,"observed co-occurrence"
"banker.banco-press","boss.boss-bounty",8,12.5%,8.625,722634.375,"observed co-occurrence"
"banker.banco-press","economy.interest-ledger",65,12.308%,8.277,896196.923,"observed co-occurrence"
"economy.comp-points","player.player-tempo",124,12.097%,7.702,436092.742,"observed co-occurrence"
"boss.boss-bounty","core.lucky-chip",58,12.069%,7.966,388406.466,"observed co-occurrence"
"boss.boss-bounty","economy.interest-ledger",42,11.905%,8.024,397701.476,"observed co-occurrence"
"control.soft-cut","player.punto-insurance",18,11.111%,4.833,176672.222,"observed co-occurrence"
"boss.house-crack","economy.interest-ledger",18,11.111%,8.667,506372.167,"observed co-occurrence"
"core.banker-bias","tie.equalizer",9,11.111%,5.333,257930.556,"observed co-occurrence"
"core.banker-bias","heat.low-profile",9,11.111%,5.556,229025,"observed co-occurrence"
"loaded.add-nine","tie.mirror-bet",9,11.111%,6.556,140360.778,"observed co-occurrence"
"core.opening-tell","player.punto-insurance",9,11.111%,5.333,49536.111,"observed co-occurrence"
"banker.commission-dodge","control.soft-cut",9,11.111%,5.667,112719.444,"observed co-occurrence"
"economy.comp-points","tie.mirror-bet",46,10.87%,6.935,381459.783,"observed co-occurrence"
"core.clean-hands","loaded.add-nine",19,10.526%,4.684,94826.737,"observed co-occurrence"
"banker.commission-dodge","boss.boss-bounty",19,10.526%,7.947,309997.368,"observed co-occurrence"
"heat.soft-footsteps","player.punto-insurance",203,10.345%,6.222,210978.365,"observed co-occurrence"
"banker.banco-press","core.lucky-chip",97,10.309%,8.124,815807.732,"observed co-occurrence"
"banker.banker-anchor","heat.soft-footsteps",139,10.072%,6.496,240013.345,"observed co-occurrence"
"core.clean-hands","debt.last-dollar",110,10%,7.2,343519.991,"observed co-occurrence"
"banker.commission-dodge","core.clean-hands",70,10%,5.414,439401.9,"observed co-occurrence"
"core.banker-bias","tie.mirror-bet",20,10%,5.6,141466.25,"observed co-occurrence"
"boss.boss-bounty","tie.equalizer",20,10%,7.7,231108.1,"observed co-occurrence"
"core.tie-insurance","economy.comp-points",10,10%,5,178875,"observed co-occurrence"
"debt.emergency-marker","vision.third-card-forecast",10,10%,7.8,1874047.4,"observed co-occurrence"
"player.player-tempo","vision.pattern-memory",10,10%,7.7,349582.5,"observed co-occurrence"
"banker.commission-dodge","tie.equalizer",145,9.655%,7.497,410912.414,"observed co-occurrence"
"core.clean-hands","player.player-tempo",52,9.615%,7.058,384135.404,"observed co-occurrence"
"bet.high-roller","heat.low-profile",43,9.302%,7.023,219423.465,"observed co-occurrence"
"heat.low-profile","player.punto-insurance",43,9.302%,6.326,249622.047,"observed co-occurrence"
"economy.comp-points","tie.tie-master",33,9.091%,8.242,478384.455,"observed co-occurrence"
"debt.last-dollar","player.player-tempo",33,9.091%,7.576,366902.273,"observed co-occurrence"
"bet.high-roller","player.player-tempo",11,9.091%,6.727,1099241.364,"observed co-occurrence"
"player.player-tempo","tie.tie-master",11,9.091%,9.091,838115.909,"observed co-occurrence"
"banker.banker-anchor","boss.house-crack",11,9.091%,7.818,354689.727,"observed co-occurrence"
"heat.soft-footsteps","tie.mirror-bet",78,8.974%,6.436,259583.692,"observed co-occurrence"
"core.clean-hands","economy.comp-points",112,8.929%,6.036,303728.179,"observed co-occurrence"
"bet.high-roller","heat.soft-footsteps",113,8.85%,7.027,381123.805,"observed co-occurrence"
"core.clean-hands","heat.low-profile",398,8.543%,5.525,238454.508,"observed co-occurrence"
"core.clean-hands","tie.equalizer",130,8.462%,6.923,340761.485,"observed co-occurrence"
"economy.interest-ledger","tie.tie-master",36,8.333%,8.389,567913.889,"observed co-occurrence"
"control.soft-cut","heat.soft-footsteps",24,8.333%,5.5,52263.708,"observed co-occurrence"
"core.opening-tell","heat.soft-footsteps",12,8.333%,4.75,23781.25,"observed co-occurrence"
"core.tie-insurance","economy.interest-ledger",12,8.333%,4.417,291514.583,"observed co-occurrence"
"control.soft-cut","heat.low-profile",12,8.333%,5.25,241912.75,"observed co-occurrence"
"control.soft-cut","core.banker-bias",12,8.333%,4.583,186214.583,"observed co-occurrence"
"boss.boss-bounty","player.player-tempo",12,8.333%,7.5,335010.417,"observed co-occurrence"
"economy.comp-points","tie.equalizer",233,8.155%,7.425,387098.979,"observed co-occurrence"
"player.player-tempo","tie.equalizer",75,8%,7.64,387563.667,"observed co-occurrence"
"banker.banker-anchor","heat.low-profile",39,7.692%,5.718,333528.359,"observed co-occurrence"
"banker.banker-anchor","bet.high-roller",26,7.692%,6.385,220812.962,"observed co-occurrence"
"debt.last-dollar","tie.tie-whisperer",13,7.692%,6.538,147740.385,"observed co-occurrence"
"banker.banco-press","debt.last-dollar",13,7.692%,7.923,939024,"observed co-occurrence"
"economy.comp-points","economy.interest-ledger",508,7.677%,7.179,417982.356,"observed co-occurrence"
"economy.interest-ledger","player.player-tempo",157,7.643%,7.618,423611.382,"observed co-occurrence"
"banker.commission-dodge","economy.comp-points",276,7.609%,6.757,392535.054,"observed co-occurrence"
"core.lucky-chip","player.player-tempo",225,7.556%,7.444,405157,"observed co-occurrence"
"core.clean-hands","economy.interest-ledger",173,7.514%,6.012,221888.694,"observed co-occurrence"
"economy.interest-ledger","vision.pattern-memory",80,7.5%,7.65,516466.4,"observed co-occurrence"
"bet.high-roller","player.punto-insurance",27,7.407%,6.519,173529.593,"observed co-occurrence"
"banker.dealers-nod","core.lucky-chip",41,7.317%,7.171,313734.146,"observed co-occurrence"
"heat.soft-footsteps","player.side-step",69,7.246%,5.667,301620.145,"observed co-occurrence"
"core.clean-hands","heat.soft-footsteps",598,7.191%,5.475,226049.749,"observed co-occurrence"
"heat.low-profile","tie.mirror-bet",28,7.143%,6.179,263356.929,"observed co-occurrence"
"boss.boss-bounty","economy.comp-points",28,7.143%,7.929,361116.071,"observed co-occurrence"
"banker.banker-anchor","control.soft-cut",14,7.143%,5.071,78209.786,"observed co-occurrence"
"core.lucky-chip","economy.comp-points",878,6.834%,6.774,353063.354,"observed co-occurrence"
"heat.soft-footsteps","vision.soft-peek",46,6.522%,5.935,131037.783,"observed co-occurrence"
"bet.high-roller","economy.interest-ledger",47,6.383%,6.915,279390.936,"observed co-occurrence"
"debt.last-dollar","player.punto-insurance",80,6.25%,7.175,362515.675,"observed co-occurrence"
"banker.banco-press","banker.banker-anchor",32,6.25%,7.438,624191.406,"observed co-occurrence"
"economy.comp-points","player.punto-insurance",178,6.18%,6.41,308257.438,"observed co-occurrence"
"bet.high-roller","core.clean-hands",98,6.122%,6.929,343375.5,"observed co-occurrence"
"core.lucky-chip","economy.interest-ledger",1079,6.117%,6.74,354653.614,"observed co-occurrence"
"bet.high-roller","core.lucky-chip",66,6.061%,6.621,254736.364,"observed co-occurrence"
"banker.banker-anchor","core.clean-hands",116,6.034%,5.716,304398.94,"observed co-occurrence"
"banker.commission-dodge","player.player-tempo",85,5.882%,7.129,393985.588,"observed co-occurrence"
"core.lucky-chip","tie.tie-master",51,5.882%,8.314,465429.412,"observed co-occurrence"
"economy.comp-points","loaded.add-nine",17,5.882%,5.882,127484.529,"observed co-occurrence"
"banker.commission-dodge","core.tie-insurance",17,5.882%,4.706,268070.588,"observed co-occurrence"
"core.lucky-chip","tie.equalizer",480,5.833%,7.325,331663.802,"observed co-occurrence"
"core.lucky-chip","vision.pattern-memory",103,5.825%,7.641,453154.854,"observed co-occurrence"
"banker.commission-dodge","player.reversal-read",35,5.714%,5.657,191704,"observed co-occurrence"
"banker.commission-dodge","player.punto-insurance",106,5.66%,6.472,245306.368,"observed co-occurrence"
"debt.last-dollar","economy.comp-points",144,5.556%,7.333,385672.042,"observed co-occurrence"
"player.punto-insurance","vision.soft-peek",36,5.556%,5.278,117540.333,"observed co-occurrence"
"debt.last-dollar","tie.tie-master",18,5.556%,7.722,382958.333,"observed co-occurrence"
"banker.commission-dodge","tie.tie-master",18,5.556%,8.444,542531.944,"observed co-occurrence"
"economy.interest-ledger","tie.equalizer",307,5.537%,7.29,314707.85,"observed co-occurrence"
"economy.comp-points","vision.pattern-memory",57,5.263%,7.895,531078.719,"observed co-occurrence"
"banker.commission-dodge","debt.last-dollar",57,5.263%,7.158,362740.561,"observed co-occurrence"
"control.soft-cut","core.clean-hands",19,5.263%,5.053,156709.368,"observed co-occurrence"
"core.clean-hands","tie.tie-whisperer",19,5.263%,5.474,170007.211,"observed co-occurrence"
"debt.last-dollar","economy.interest-ledger",155,5.161%,7.561,404348.458,"observed co-occurrence"
"debt.emergency-marker","heat.low-profile",117,5.128%,6.735,277244.103,"observed co-occurrence"
"core.lucky-chip","player.punto-insurance",366,4.918%,6.481,276650.888,"observed co-occurrence"
"banker.commission-dodge","core.lucky-chip",575,4.87%,6.475,302392.913,"observed co-occurrence"
"core.clean-hands","player.punto-insurance",124,4.839%,5.516,203399.895,"observed co-occurrence"
"banker.commission-dodge","economy.interest-ledger",335,4.776%,6.913,362041.343,"observed co-occurrence"
"economy.comp-points","tie.tie-whisperer",42,4.762%,6.214,262464.286,"observed co-occurrence"
"debt.last-dollar","tie.mirror-bet",21,4.762%,6.714,230657.952,"observed co-occurrence"
"control.soft-cut","economy.comp-points",21,4.762%,5.81,211678.571,"observed co-occurrence"
"debt.last-dollar","player.side-step",22,4.545%,7.727,463141.591,"observed co-occurrence"
"economy.interest-ledger","player.side-step",89,4.494%,5.91,366448.034,"observed co-occurrence"
"core.lucky-chip","tie.mirror-bet",89,4.494%,6.27,307946.629,"observed co-occurrence"
"core.lucky-chip","debt.last-dollar",248,4.435%,7.323,350411.593,"observed co-occurrence"
"banker.commission-dodge","core.opening-tell",23,4.348%,4.435,51497.826,"observed co-occurrence"
"control.soft-cut","economy.interest-ledger",23,4.348%,5.957,245560.304,"observed co-occurrence"
"heat.low-profile","player.side-step",23,4.348%,5.13,133350,"observed co-occurrence"
"tie.equalizer","tie.tie-whisperer",23,4.348%,6.217,159792.391,"observed co-occurrence"
"debt.last-dollar","vision.pattern-memory",23,4.348%,7.522,966732.609,"observed co-occurrence"
"core.lucky-chip","player.side-step",118,4.237%,6.178,312118.432,"observed co-occurrence"
"core.player-surge","debt.last-dollar",48,4.167%,6.938,589648.958,"observed co-occurrence"
"economy.interest-ledger","tie.tie-whisperer",50,4%,6.74,215826.24,"observed co-occurrence"
"player.punto-insurance","tie.mirror-bet",50,4%,5.52,185654.4,"observed co-occurrence"
"player.side-step","vision.pattern-memory",25,4%,7,462065,"observed co-occurrence"
"tie.equalizer","vision.soft-peek",25,4%,7,205692,"observed co-occurrence"
"bet.high-roller","tie.equalizer",25,4%,7.52,421354,"observed co-occurrence"
"banker.banker-anchor","economy.interest-ledger",181,3.867%,6.934,306078.994,"observed co-occurrence"
"tie.mirror-bet","tie.tie-whisperer",26,3.846%,5.077,59097.115,"observed co-occurrence"
"core.banker-bias","tie.tie-whisperer",26,3.846%,4.192,36448.077,"observed co-occurrence"
"core.tie-insurance","player.reversal-read",26,3.846%,4.538,157745.192,"observed co-occurrence"
"economy.interest-ledger","player.punto-insurance",224,3.571%,6.397,284608.978,"observed co-occurrence"
"heat.soft-footsteps","player.reversal-read",84,3.571%,5.643,130556.321,"observed co-occurrence"
"debt.last-dollar","tie.equalizer",88,3.409%,7.466,332235.364,"observed co-occurrence"
"banker.banker-anchor","vision.soft-peek",30,3.333%,5.1,89456.667,"observed co-occurrence"
"heat.low-profile","player.reversal-read",30,3.333%,6.033,142802.467,"observed co-occurrence"
"control.soft-cut","core.lucky-chip",30,3.333%,5.633,174948.333,"observed co-occurrence"
"core.lucky-chip","vision.soft-peek",92,3.261%,6.033,200870.652,"observed co-occurrence"
"core.clean-hands","tie.mirror-bet",94,3.191%,5.798,178688.798,"observed co-occurrence"
"core.lucky-chip","tie.tie-whisperer",63,3.175%,6.286,226457.54,"observed co-occurrence"
"control.soft-cut","core.opening-tell",32,3.125%,4.375,37258.594,"observed co-occurrence"
"debt.emergency-marker","tie.tie-master",32,3.125%,7.563,298093.344,"observed co-occurrence"
"core.player-surge","vision.pattern-memory",33,3.03%,6.333,726184.848,"observed co-occurrence"
"core.banker-bias","economy.interest-ledger",33,3.03%,4.455,102265.909,"observed co-occurrence"
"bet.high-roller","economy.comp-points",33,3.03%,6.697,267434.848,"observed co-occurrence"
"player.punto-insurance","player.reversal-read",136,2.941%,5.154,160252.471,"observed co-occurrence"
"banker.banker-anchor","debt.last-dollar",68,2.941%,7.103,283781.618,"observed co-occurrence"
"core.lucky-chip","player.reversal-read",103,2.913%,6.078,194634.466,"observed co-occurrence"
"economy.interest-ledger","player.reversal-read",72,2.778%,5.972,267427.236,"observed co-occurrence"
"banker.banker-anchor","tie.equalizer",109,2.752%,7.257,336693.917,"observed co-occurrence"
"banker.banker-anchor","player.punto-insurance",111,2.703%,5.829,265700.667,"observed co-occurrence"
"economy.interest-ledger","tie.mirror-bet",74,2.703%,6.081,239859.122,"observed co-occurrence"
"tie.equalizer","tie.mirror-bet",37,2.703%,6.432,195134.784,"observed co-occurrence"
"player.reversal-read","tie.mirror-bet",39,2.564%,5.821,163580.769,"observed co-occurrence"
"banker.banco-press","banker.commission-dodge",39,2.564%,7.462,620424.359,"observed co-occurrence"
"banker.banker-anchor","core.lucky-chip",352,2.557%,6.469,269039.205,"observed co-occurrence"
"economy.comp-points","player.reversal-read",41,2.439%,6.39,253116.146,"observed co-occurrence"
"economy.comp-points","player.side-step",85,2.353%,6.082,281920.294,"observed co-occurrence"
"core.clean-hands","player.reversal-read",86,2.326%,5.395,197450.512,"observed co-occurrence"
"debt.emergency-marker","heat.soft-footsteps",461,2.169%,6.751,288465.377,"observed co-occurrence"
"core.clean-hands","debt.emergency-marker",372,2.151%,5.93,210381.761,"observed co-occurrence"
"debt.emergency-marker","player.player-tempo",150,2%,6.98,269408.573,"observed co-occurrence"
"player.punto-insurance","player.side-step",101,1.98%,5.376,160786.634,"observed co-occurrence"
"banker.banco-press","debt.emergency-marker",52,1.923%,7.365,520351.673,"observed co-occurrence"
"player.side-step","vision.soft-peek",59,1.695%,5.034,106178.39,"observed co-occurrence"
"banker.banker-anchor","player.reversal-read",59,1.695%,5.339,258679.22,"observed co-occurrence"
"banker.banker-anchor","tie.mirror-bet",60,1.667%,6.033,183412.833,"observed co-occurrence"
"banker.banker-anchor","economy.comp-points",128,1.563%,6.711,311507.813,"observed co-occurrence"
"economy.comp-points","vision.soft-peek",66,1.515%,5.803,211856.818,"observed co-occurrence"
"core.player-surge","heat.soft-footsteps",181,1.105%,4.055,162098.204,"observed co-occurrence"
"player.punto-insurance","tie.equalizer",111,0.901%,6.766,276117.784,"observed co-occurrence"
"banker.banker-anchor","banker.commission-dodge",125,0.8%,6.168,287407.296,"observed co-occurrence"
"debt.emergency-marker","economy.interest-ledger",529,0.756%,6.561,272532.654,"observed co-occurrence"
"debt.emergency-marker","debt.last-dollar",203,0.493%,6.961,284979.901,"observed co-occurrence"
"core.player-surge","player.side-step",232,0.431%,4.181,110035.022,"observed co-occurrence"
"debt.emergency-marker","player.punto-insurance",285,0.351%,6.084,182876.853,"observed co-occurrence"
"debt.emergency-marker","tie.equalizer",288,0.347%,6.802,242718.667,"observed co-occurrence"
"core.player-surge","player.punto-insurance",352,0.284%,4.017,73969.389,"observed co-occurrence"
"core.lucky-chip","debt.emergency-marker",813,0.246%,6.498,254930.843,"observed co-occurrence"
"debt.emergency-marker","economy.comp-points",412,0.243%,6.558,268399.267,"observed co-occurrence"
"core.player-surge","debt.emergency-marker",374,0%,4.15,77467.58,"observed co-occurrence"
"banker.banker-anchor","debt.emergency-marker",254,0%,6.252,216368.988,"observed co-occurrence"
"banker.commission-dodge","debt.emergency-marker",252,0%,6.028,190590.71,"observed co-occurrence"
"core.player-surge","player.reversal-read",205,0%,4.098,88239.146,"observed co-occurrence"
